"","Treatments","survivals","adultsNO","Date","DayCount","Adults","Mortality","mortality (%)"
"334","BotaniGard",6,3,2020-09-17,4,42.8571428571429,1,0.142857142857143
"335","BotaniGard",6,1,2020-09-17,4,14.2857142857143,1,0.142857142857143
"336","BotaniGard",6,0,2020-09-17,4,0,1,0.142857142857143
"337","BotaniGard",6,3,2020-09-17,4,42.8571428571429,1,0.142857142857143
"338","BotaniGard",6,0,2020-09-17,4,0,1,0.142857142857143
"339","BotaniGard",4,2,2020-09-17,4,28.5714285714286,3,0.428571428571429
"340","BotaniGard",6,3,2020-09-17,4,42.8571428571429,1,0.142857142857143
"341","BotaniGard",5,3,2020-09-17,4,42.8571428571429,2,0.285714285714286
"342","BotaniGard",7,4,2020-09-17,4,57.1428571428571,0,0
"343","BotaniGard",6,2,2020-09-17,4,28.5714285714286,1,0.142857142857143
"344","BotaniGard",5,0,2020-09-17,4,0,2,0.285714285714286
"345","BotaniGard",5,3,2020-09-17,4,42.8571428571429,2,0.285714285714286
"346","C1",3,1,2020-09-17,4,14.2857142857143,4,0.571428571428571
"347","C1",5,0,2020-09-17,4,0,2,0.285714285714286
"348","C1",7,3,2020-09-17,4,42.8571428571429,0,0
"349","C1",7,0,2020-09-17,4,0,0,0
"350","C1",5,3,2020-09-17,4,42.8571428571429,2,0.285714285714286
"351","C1",6,3,2020-09-17,4,42.8571428571429,1,0.142857142857143
"352","C1",7,4,2020-09-17,4,57.1428571428571,0,0
"353","C1",7,2,2020-09-17,4,28.5714285714286,0,0
"354","C1",7,2,2020-09-17,4,28.5714285714286,0,0
"355","C1",5,0,2020-09-17,4,0,2,0.285714285714286
"356","C1",7,1,2020-09-17,4,14.2857142857143,0,0
"357","C1",7,0,2020-09-17,4,0,0,0
"358","C1",7,1,2020-09-17,4,14.2857142857143,0,0
"359","C1",6,3,2020-09-17,4,42.8571428571429,1,0.142857142857143
"360","C1",7,1,2020-09-17,4,14.2857142857143,0,0
"361","C2",6,2,2020-09-17,4,28.5714285714286,1,0.142857142857143
"362","C2",7,2,2020-09-17,4,28.5714285714286,0,0
"363","C2",7,4,2020-09-17,4,57.1428571428571,0,0
"364","C2",5,3,2020-09-17,4,42.8571428571429,2,0.285714285714286
"365","C2",5,0,2020-09-17,4,0,2,0.285714285714286
"366","C2",7,2,2020-09-17,4,28.5714285714286,0,0
"367","C2",7,4,2020-09-17,4,57.1428571428571,0,0
"368","C2",6,2,2020-09-17,4,28.5714285714286,1,0.142857142857143
"369","C2",7,2,2020-09-17,4,28.5714285714286,0,0
"370","C2",7,1,2020-09-17,4,14.2857142857143,0,0
"371","C2",7,3,2020-09-17,4,42.8571428571429,0,0
"372","C2",5,3,2020-09-17,4,42.8571428571429,2,0.285714285714286
"373","C2",6,2,2020-09-17,4,28.5714285714286,1,0.142857142857143
"374","C2",7,4,2020-09-17,4,57.1428571428571,0,0
"375","C2",5,1,2020-09-17,4,14.2857142857143,2,0.285714285714286
"376","C3",6,2,2020-09-17,4,28.5714285714286,1,0.142857142857143
"377","C3",6,1,2020-09-17,4,14.2857142857143,1,0.142857142857143
"378","C3",6,3,2020-09-17,4,42.8571428571429,1,0.142857142857143
"379","C3",6,2,2020-09-17,4,28.5714285714286,1,0.142857142857143
"380","C3",6,3,2020-09-17,4,42.8571428571429,1,0.142857142857143
"381","C3",7,1,2020-09-17,4,14.2857142857143,0,0
"382","C3",5,2,2020-09-17,4,28.5714285714286,2,0.285714285714286
"383","C3",6,3,2020-09-17,4,42.8571428571429,1,0.142857142857143
"384","C3",7,3,2020-09-17,4,42.8571428571429,0,0
"385","C3",6,2,2020-09-17,4,28.5714285714286,1,0.142857142857143
